,Kabupaten Pacitan,Kabupaten Ponorogo,Kabupaten Trenggalek,Kabupaten Tulungagung,Kabupaten Blitar,Kabupaten Kediri,Kabupaten Malang,Kabupaten Lumajang,Kabupaten Jember,Kabupaten Banyuwangi,Kabupaten Bondowoso,Kabupaten Situbondo,Kabupaten Probolinggo,Kabupaten Pasuruan,Kabupaten Sidoarjo,Kabupaten Mojokerto,Kabupaten Jombang,Kabupaten Nganjuk,Kabupaten Madiun,Kabupaten Magetan,Kabupaten Ngawi,Kabupaten Bojonegoro,Kabupaten Tuban,Kabupaten Lamongan,Kabupaten Gresik,Kabupaten Bangkalan,Kabupaten Sampang,Kabupaten Pamekasan,Kabupaten Sumenep,Kota Kediri,Kota Blitar,Kota Malang,Kota Probolinggo,Kota Pasuruan,Kota Mojokerto,Kota Madiun,Kota Surabaya,Kota Batu
Kabupaten Pacitan,0,42.83,59.06,86.62,107.03,97.77,159.68,225.3,274.16,351.14,291.09,309.49,227.62,297.37,185.31,154.75,132.18,98.62,66.01,55.75,87.51,133.41,444.65,212.12,195.21,211.27,225.59,273.81,328.98,97.95,107.03,160.26,227.65,197.38,156.21,78.93,200.46,150.94
Kabupaten Ponorogo,42.83,0,36.52,60.21,79.6,60.26,127.85,195.86,244.96,321.71,258.55,274.82,192.54,314.54,145.3,113.9,90.97,56.21,26.91,28,53.02,91.95,419.24,234.01,153.01,168.84,251.17,233.82,288.64,60.27,79.6,128.38,192.61,160.2,115.24,36.34,159.06,116.46
Kabupaten Trenggalek,59.06,36.52,0,27.64,48.12,44.06,100.65,166.49,215.47,292.47,232.04,250.65,169.03,348.8,131.15,103.01,82.45,57.64,55.89,63.78,82.24,105.6,387.44,266.41,146.54,163.45,281.92,218.65,274.06,44.46,48.12,101.23,169.04,139.99,104.71,52.95,148.91,92.55
Kabupaten Tulungagung,86.62,60.21,27.64,0,20.48,30.3,73.34,138.85,187.84,264.85,204.54,223.55,142.31,374.63,109.18,84.25,67.08,54.73,72.17,84.67,95.62,104.73,360.26,293.17,128.86,145.99,309.16,194.91,250.27,30.94,20.48,73.93,142.31,114.73,86.09,62.19,128.85,66.48
Kabupaten Blitar,107.03,79.6,48.12,20.48,0,34.37,53.48,118.37,167.36,244.37,184.29,203.72,122.99,394.11,95.3,74.57,62.08,61.66,88.3,102.5,109.46,109.28,340.06,313.22,118.77,135.79,329.47,178.4,233.53,34.98,0.5,54.08,122.97,97.19,76.48,75.53,116.51,48.64
Kabupaten Kediri,97.77,60.26,44.06,30.3,34.37,0,69.48,137.96,186.75,263.01,198.73,214.57,132.3,369.94,87.95,58.98,38.75,27.3,59.86,76.69,77.4,75.8,362.56,292.15,102.58,119.55,310.4,176.2,231.5,0.66,34.37,69.97,132.37,100.2,60.66,44.08,104.95,56.62
Kabupaten Malang,159.68,127.85,100.65,73.34,53.48,69.48,0,68.48,117.37,193.92,131.49,150.26,69.77,439.4,59.97,59.15,65.23,89.88,129.15,146.17,143.83,122.89,293.12,361.32,92.06,106.87,378.99,130.15,184.16,69.7,53.48,0.61,69.73,48.84,60.54,112.35,83.16,16.85
Kabupaten Lumajang,225.3,195.86,166.49,138.85,118.37,137.96,68.48,0,49.12,126.06,69.12,93.67,42.23,507.84,94.08,113.47,127.86,157.21,197.54,214.65,211.09,183.41,224.76,429.65,125.44,133.54,446.98,110.76,153.9,138.18,118.37,67.99,41.9,64.85,114.04,180.48,110.3,82.67
Kabupaten Jember,274.16,244.96,215.47,187.84,167.36,186.75,117.37,49.12,0,77,33.71,62.25,69.49,556.38,132.61,157.12,173.9,205.01,246.09,263.41,258.61,227.36,176.84,478.67,159.73,163.74,496.09,115.33,142.44,186.94,167.36,116.86,69.2,103.42,157.37,228.75,143.54,130.83
Kabupaten Banyuwangi,351.14,321.71,292.47,264.85,244.37,263.01,193.92,126.06,77,0,69.51,73.11,137.4,631.88,200.67,228.6,247.3,279.99,321.91,339.5,333.03,297.88,106.32,555.14,222.51,222.26,572.88,153.37,152.5,263.18,244.37,193.39,137.19,173.35,228.56,304.25,206.38,206.65
Kabupaten Bondowoso,291.09,258.55,232.04,204.54,184.29,198.73,131.49,69.12,33.71,69.51,0,28.59,68.85,565.13,131.38,160.07,179.66,213.51,256.32,274.33,265.72,228.78,175.67,490.27,153.15,153.64,509.07,91.84,110.81,198.81,184.29,130.91,68.68,104.77,159.92,238.25,136.98,142.15
Kabupaten Situbondo,309.49,274.82,250.65,223.55,203.72,214.57,150.26,93.67,62.25,73.11,28.59,0,82.28,576.25,139.28,170.16,191.35,226.61,270.13,288.49,277.07,236.15,177.32,503.82,155.67,152.98,523.64,80.35,86.59,214.58,203.72,149.67,82.21,116.14,169.7,251.73,140.16,158.79
Kabupaten Probolinggo,227.62,192.54,169.03,142.31,122.99,132.3,69.77,42.23,69.49,137.4,68.85,82.28,0,496.44,63.85,91.29,110.88,145.21,188.43,206.66,196.97,160.55,242.46,422.38,90.32,95.42,441.77,71.14,119.87,132.31,122.99,69.16,0.34,35.98,91.2,170.16,74.21,76.7
Kabupaten Pasuruan,297.37,314.54,348.8,374.63,394.11,369.94,439.4,507.84,556.38,631.88,565.13,576.25,496.44,0,437.13,406.13,385.56,351.91,310.31,293.31,299.48,342.19,732.5,89.22,426.74,435.82,91.32,516.12,563.69,369.7,394.11,439.88,496.59,460.88,406.55,327.69,440.07,425.56
