City,Latitude,Longitude
Kabupaten Pacitan,-8.125,111.17806
Kabupaten Ponorogo,-7.866688,111.466614
Kabupaten Trenggalek,-8.08641,111.713127
Kabupaten Tulungagung,-8.091221,111.964173
Kabupaten Blitar,-8.1,112.150002
Kabupaten Kediri,-7.82284,112.011864
Kabupaten Malang,-7.983908,112.621391
Kabupaten Lumajang,-8.1335,113.2248
Kabupaten Jember,-8.184486,113.668076
Kabupaten Banyuwangi,-8.21861,114.3669
Kabupaten Bondowoso,-7.9177,113.8135
Kabupaten Situbondo,-7.70253,113.9556
Kabupaten Probolinggo,-7.75397,113.2107
Kabupaten Pasuruan,-6.86231,108.8002
Kabupaten Sidoarjo,-7.45303,112.7173
Kabupaten Mojokerto,-7.48808,112.427
Kabupaten Jombang,-7.54684,112.2265
Kabupaten Nganjuk,-7.60293,111.9018
Kabupaten Madiun,-7.62775,111.5055
Kabupaten Magetan,-7.64934,111.3382
Kabupaten Ngawi,-7.38993,111.4619
Kabupaten Bojonegoro,-7.152479,111.886929
Kabupaten Tuban,-8.74931,115.1711
Kabupaten Lamongan,-7.40615,109.3947
Kabupaten Gresik,-7.15665,112.6555
Kabupaten Bangkalan,-7.03069,112.745
Kabupaten Sampang,-7.57826,109.2058
Kabupaten Pamekasan,-7.16667,113.4667
Kabupaten Sumenep,-6.9254,113.9061
Kota Kediri,-7.8169,112.0114
Kota Blitar,-8.1,112.15
Kota Malang,-7.98189,112.6265
Kota Probolinggo,-7.75693,113.2115
Kota Pasuruan,-7.64487,112.9033
Kota Mojokerto,-7.47222,112.4336
Kota Madiun,-7.61188765,111.6731926
Kota Surabaya,-7.250445,112.768845
Kota Batu,-7.8671,112.523903
